draw,precip_scale,evap_scale,qin_scale,net_unresolved_m_per_day,weighted_MAE_m,skill_vs_frozen,final_level_m
139,1.1525105843345302,2.1647100874046115,0.7330493167727703,-0.00027844028171976267,0.2570966019863202,0.49061958703624076,1552.0683768730873
140,1.266247278655787,2.238032091418408,0.7212086115105895,-0.0002891204891069462,0.16391852039768223,0.6752314773221991,1552.2906657033611
141,1.3671013438460724,2.246999573052679,0.7887842946966737,-0.00027147116520219265,0.2600120224552566,0.48484332211886594,1552.798220425938
142,1.159553271401199,2.091143814200203,0.790256645553524,-0.0002804480899944642,0.14641921604953856,0.7099025029466849,1552.4180085873252
143,1.304634074766632,2.495349272029613,0.810603823848046,-0.00024427047793088296,0.39625004926596175,0.21491761395296338,1551.7173564671489
144,1.1988073611675572,2.1656526565019782,0.8225151136086414,-0.000259977312671061,0.14863607273162271,0.7055102886448343,1552.390213897716
145,1.1911871272272472,2.0995127063907733,0.8128523426962615,-0.0002695182410151117,0.15479179963940617,0.6933140686631105,1552.564827983511
146,1.3891120925834166,2.1201585700543357,0.7206258677856999,-0.00027919291734564947,0.4738909880824672,0.06108915736624476,1553.246478335444
147,1.2145447814565413,2.2715923066756587,0.7772939267314746,-0.0002728384312914467,0.26405863635682336,0.47682584602482314,1552.0284380829592
148,1.243795787499821,2.451440754025309,0.7382104914769452,-0.00027741656190664486,0.5235606920144578,-0.03732044472570051,1551.485791580758
149,1.36776089886937,2.3344829522637776,0.7354340360987784,-0.00024371415990288744,0.15345572159257886,0.6959612136739222,1552.4635919923546
150,1.3911827927056897,2.1467333577253327,0.7081899156143521,-0.00024755409266912886,0.44177727897469204,0.1247154141146204,1553.1797466069875
151,1.2253867810874925,2.3114381956093064,0.7051599800159588,-0.000278169831456727,0.3513132797136924,0.30394994676073095,1551.849460340032
152,1.2938079377300333,2.173203296104161,0.805629102076861,-0.00027410022004417537,0.22404026930913865,0.55611344522059,1552.7482442892617
153,1.3825287462183597,2.2827721571205233,0.7364026895183455,-0.00026584771346906187,0.2116709625819189,0.5806205080137492,1552.686946892459
154,1.2647450867844294,2.163883575532665,0.7075219830519011,-0.0002596156816902777,0.15567778454999823,0.6915586842817134,1552.5527015046835
155,1.258524178678416,2.398233153955516,0.7504489872503349,-0.00026815143899766266,0.38767987198420695,0.23189753671050006,1551.7574397997032
156,1.2127720635443218,2.194887454304977,0.6919427465621462,-0.00026022215981917276,0.19445652849884587,0.6147271258158769,1552.1985971580416
157,1.3038711094111997,2.258108948602531,0.7717506704858872,-0.00028833269491840193,0.14958748377404146,0.7036252767623695,1552.4460701382923
158,1.2212781725307607,2.225521760732848,0.7918257264199442,-0.0002649241157192274,0.17662249639517205,0.6500613409225457,1552.2416749303213
159,1.1541606567737308,2.429684893419069,0.7004184988860636,-0.0002899479961912273,0.729417969201491,-0.4451813968152405,1551.1112315621765
160,1.3264974673910994,2.349899700161824,0.7134821181960415,-0.0002688539696571951,0.18849548785840164,0.6265376177463955,1552.1793800506905
