model,scenario,horizon,level_mean_m,level_end_m,change_mean_vs_anchor_m,change_end_vs_anchor_m,cum_P_end_m,cum_E_end_m,cum_Q_end_m,cum_S_end_m
MIROC6,ssp585,2050,1550.3847374866423,1550.2082645044352,-2.385262513357702,-2.5617354955647897,-0.2535052063683997,0.5670313323796837,-3.0076787339780937,0.13241711240194207
MIROC6,ssp585,2090,1541.9827532238924,1542.269518135833,-10.787246776107622,-10.500481864166886,-3.8356176298162876,3.3289610198589266,-10.126242366611343,0.13241711240197093
MPI-ESM1-2-HR,ssp245,2030,1553.2264605824303,1553.3015394251745,0.45646058243028165,0.5315394251745147,0.46476057446243685,0.050156280750265736,-0.11579454244001439,0.13241711240192763
MPI-ESM1-2-HR,ssp245,2050,1550.6674323302254,1550.519750490276,-2.102567669774544,-2.2502495097239716,-0.4189807492992357,0.49292040414242605,-2.4566062769690764,0.13241711240194207
MPI-ESM1-2-HR,ssp245,2090,1542.7996762456144,1542.7326761143822,-9.970323754385618,-10.037323885617752,-3.6421453488786217,1.661174337234452,-8.188769986375435,0.13241711240197093
MPI-ESM1-2-HR,ssp585,2030,1551.478922653233,1551.5417955070839,-1.291077346766997,-1.2282044929161202,-0.791353187868273,0.07457164571208282,-0.6438400631618149,0.13241711240192763
MPI-ESM1-2-HR,ssp585,2050,1550.0644734940495,1550.2422893957369,-2.705526505950502,-2.5277106042631203,-0.4190454956788685,0.5123753637473182,-2.753457584733404,0.13241711240194207
MPI-ESM1-2-HR,ssp585,2090,1542.2170863750632,1542.1399604404714,-10.552913624936764,-10.63003955952854,-4.725339134618739,3.4627349259195253,-9.499852463231322,0.13241711240197093
MRI-ESM2-0,ssp245,2030,1553.8469999878214,1554.0192169985053,1.0769999878214094,1.2492169985052897,1.250781467768499,0.16582336124075694,-0.2998049429058743,0.13241711240192763
MRI-ESM2-0,ssp245,2050,1551.7611246252372,1551.995090163183,-1.008875374762738,-0.7749098368169598,1.460616365019643,0.4295888571012346,-2.797532171339737,0.13241711240194207
MRI-ESM2-0,ssp245,2090,1540.2629670882093,1540.4625502991682,-12.507032911790702,-12.30744970083174,-4.182694072999839,0.8730377996846986,-9.130210539918446,0.13241711240197093
MRI-ESM2-0,ssp585,2030,1553.22219305635,1553.9072363144842,0.4521930563500973,1.1372363144841984,1.2200018925714133,0.16149936235568685,-0.37668205284484096,0.13241711240192763
MRI-ESM2-0,ssp585,2050,1548.166800333129,1548.1083668593592,-4.603199666870978,-4.661633140640788,-1.6187669463415284,0.22890015938616215,-3.4041834660873422,0.13241711240194207
MRI-ESM2-0,ssp585,2090,1525.194917516684,1525.0477070301883,-27.57508248331601,-27.722292969811633,-18.429902636168674,1.7355304712449962,-11.160337917289755,0.13241711240197093
UKESM1-0-LL,ssp245,2030,1551.6177827425724,1551.5065761168269,-1.1522172574275373,-1.2634238831731182,-0.7137033638600028,0.11821184609895506,-0.800349477814055,0.13241711240192763
UKESM1-0-LL,ssp245,2050,1547.2214741832456,1547.1296128488193,-5.548525816754363,-5.640387151180676,-2.1905496433143186,0.413638206615481,-3.9958928268837206,0.13241711240194207
UKESM1-0-LL,ssp245,2090,1530.3403025202663,1530.5030103973997,-22.429697479733704,-22.266989602600233,-11.536016709969115,0.8893335472690781,-11.752723552302761,0.13241711240197093
UKESM1-0-LL,ssp585,2030,1552.1789224593103,1552.223877588917,-0.5910775406896391,-0.5461224110829335,-0.00032958666746815647,0.0033520425626853345,-0.6815619793801512,0.13241711240192763
UKESM1-0-LL,ssp585,2050,1544.4476799368717,1544.196548779021,-8.322320063128245,-8.573451220978995,-4.134071362157564,-0.1600121447553444,-4.41178482646784,0.13241711240194207
UKESM1-0-LL,ssp585,2090,1518.2630087903522,1518.0561132390715,-34.50699120964782,-34.71388676092852,-23.9390507343963,2.9256543627543623,-13.832907501687696,0.13241711240197093
